metric,difference_random_forest_minus_logistic,ci_95_lower,ci_95_upper,bootstrap_iterations,interpretation
accuracy,-0.07039741595410542,-0.07344169548287371,-0.06729616455457899,1000,positive favours Random Forest
precision,-0.029782688436416016,-0.03462238703139822,-0.025158190513894157,1000,positive favours Random Forest
recall,0.2573297698352547,0.25106705492839765,0.2638318241653037,1000,positive favours Random Forest
f1,0.07533293239710681,0.07031918693772998,0.08007610196827601,1000,positive favours Random Forest
roc_auc,0.03587804007008322,0.03275173767521262,0.03895243969639913,1000,positive favours Random Forest
average_precision,0.03977984634849874,0.035531235721443045,0.04413035768112611,1000,positive favours Random Forest
brier_score,0.01990151163644524,0.019264726012882906,0.020500346859043027,1000,negative favours Random Forest
