model,threshold,accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,log_loss,true_negative,false_positive,false_negative,true_positive,check,train_years,test_year,training_records,seed
"Primary 15,000 sample",0.5,0.6296432074667829,0.3530886003437082,0.5900913478798516,0.4418128873292018,0.6661812974349985,0.3930078123204811,0.22408803818518092,0.6389876151011223,48755,27103,10276,14793,"Primary 15,000 sample",2020–2021–2022–2023,2024,15000,42
"30,000 training records",0.5,0.6262645278270433,0.35474982203954164,0.6162591248155092,0.4502900113672797,0.6762775836531874,0.4088417359198955,0.22272560396726132,0.6357871803388904,47758,28100,9620,15449,"30,000 training records",2020–2021–2022–2023,2024,30000,42
"60,000 training records",0.5,0.6239262040881033,0.3556401926739106,0.6332123339582751,0.45546883966486856,0.6802376065592408,0.4127501197401322,0.2224660258250932,0.6346355469378298,47097,28761,9195,15874,"60,000 training records",2020–2021–2022–2023,2024,60000,42
Alternative seed 123,0.5,0.6412951935557383,0.3616138013324053,0.5802784315289801,0.44556411473727736,0.67018869492612,0.39369199519889087,0.22204579936621782,0.634468505932738,50177,25681,10522,14547,Alternative seed 123,2020–2021–2022–2023,2024,15000,123
Alternative seed 2026,0.5,0.6273841489393324,0.3547834144081538,0.6109537676014201,0.44889286185319244,0.6715225002431817,0.40229630369719305,0.22277305431233776,0.6354302206753667,48004,27854,9753,15316,Alternative seed 2026,2020–2021–2022–2023,2024,15000,2026
Rolling test: 2023,0.5,0.6375721767154559,0.35139268665708856,0.6075320512820512,0.44525354552661717,0.6836901192277136,0.3999963500884738,0.2199481583541745,0.6301811528443372,51308,27990,9796,15164,Rolling test: 2023,2020–2021–2022,2023,15000,42
Exclude 2020,0.5,0.6226282362499629,0.3537894784132261,0.6282659858789741,0.4526707574690675,0.6755194030896199,0.40345081769126373,0.22332083134722175,0.6372701570825238,47090,28768,9319,15750,Exclude 2020,2021–2022–2023,2024,15000,42
