model,threshold,accuracy,precision,recall,f1,roc_auc,average_precision,brier_score,log_loss,true_negative,false_positive,false_negative,true_positive
Random Forest,0.3,0.3358566092324155,0.26921934639372574,0.976305397103993,0.4220555268149681,0.6877370683442213,0.42265816785670696,0.2211321858655747,0.6312858816457371,9422,66436,594,24475
Random Forest,0.4,0.46485083278012823,0.30167475262451005,0.878056563883681,0.44906410975671956,0.6877370683442213,0.42265816785670696,0.2211321858655747,0.6312858816457371,24904,50954,3057,22012
Random Forest,0.5,0.6273247000307153,0.358757825519074,0.6354860584785991,0.4586110111550918,0.6877370683442213,0.42265816785670696,0.2211321858655747,0.6312858816457371,47383,28475,9138,15931
Random Forest,0.6,0.7450929880012286,0.4776797829036635,0.2808648131158004,0.3537391042226632,0.6877370683442213,0.42265816785670696,0.2211321858655747,0.6312858816457371,68159,7699,18028,7041
Random Forest,0.7,0.7586275228630595,0.6147116007777058,0.0756711476325342,0.13475404013496714,0.6877370683442213,0.42265816785670696,0.2211321858655747,0.6312858816457371,74669,1189,23172,1897
